epoch,auc,logloss,wauc,mean_mrr,ndcg@2,ndcg@4,hit@2,hit@4,group_auc
1,0.8429,0.6172,0.851,0.8043,0.7797,0.8427,0.8394,0.9722,0.853
2,0.8578,0.6127,0.8692,0.827,0.8074,0.8618,0.8628,0.9774,0.8722
3,0.8588,0.6025,0.8692,0.8272,0.8078,0.8617,0.8631,0.9768,0.8719
4,0.8559,0.4751,0.8635,0.8197,0.7986,0.8557,0.8554,0.9758,0.866

best epoch: 2
Time cost for training is 65.26 mins
auc,logloss,wauc,mean_mrr,hit@2,hit@4,ndcg@2,ndcg@4,group_auc
{'auc': 0.8484, 'logloss': 0.6479, 'wauc': 0.8591, 'mean_mrr': 0.7148, 'ndcg@2': 0.6723, 'ndcg@4': 0.7379, 'hit@2': 0.7286, 'hit@4': 0.8675, 'group_auc': 0.8621}
